"","Id","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","lGrLivArea","lSalePrice","lTotalBsmtSF","lX1stFlrSF","lX2ndFlrSF"
"1",1,60,65,8450,7,5,2003,2003,196,706,0,150,856,856,854,0,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,0,0,2,2008,7.44424864949671,12.247694320221,6.75227037614174,6.75227037614174,6.74993119378857
"3",3,60,68,11250,7,5,2001,2002,162,486,0,434,920,920,866,0,1,0,2,1,3,1,6,1,2001,2,608,0,42,0,0,0,0,0,9,2008,7.48773376143644,12.3171666930358,6.82437367004309,6.82437367004309,6.76388490856244
"4",4,70,60,9550,7,5,1915,1970,0,216,0,540,756,961,756,0,1,0,1,0,3,1,7,1,1998,3,642,0,35,272,0,0,0,0,2,2006,7.44833386089748,11.8493977015914,6.62804137617953,6.86797440897029,6.62804137617953
"5",5,60,84,14260,8,5,2000,2000,350,655,0,490,1145,1145,1053,0,1,0,2,1,4,1,9,1,2000,3,836,192,84,0,0,0,0,0,12,2008,7.69530313496357,12.4292161968444,7.04315991598834,7.04315991598834,6.95939851213398
"6",6,50,85,14115,5,5,1993,1995,0,732,0,64,796,796,566,0,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,320,0,0,700,10,2009,7.21670948670946,11.870599909242,6.67959918584438,6.67959918584438,6.33859407820318
"9",9,50,51,6120,7,5,1931,1950,0,0,0,952,952,1022,752,0,0,0,2,0,2,2,8,2,1931,2,468,90,0,205,0,0,0,0,4,2008,7.48099216286952,11.7745202026587,6.85856503479136,6.92951677076365,6.62273632394984
"12",12,60,85,11924,9,5,2005,2006,286,998,0,177,1175,1182,1142,0,1,0,3,0,4,1,11,2,2005,3,736,147,21,0,0,0,0,0,7,2006,7.7510451179718,12.7512996960135,7.06902342657826,7.07496319796604,7.04053639021596
"21",21,60,101,14215,8,5,2005,2006,380,0,0,1158,1158,1158,1218,0,0,0,3,1,4,1,9,1,2005,3,853,240,154,0,0,0,0,0,11,2006,7.77317368048254,12.6925031124614,7.05444965813294,7.05444965813294,7.10496544826984
"31",31,70,50,8500,4,4,1920,1950,0,0,0,649,649,649,668,0,0,0,1,0,3,1,6,0,1920,1,250,0,54,172,0,0,0,0,7,2008,7.18311170174328,10.5966347330961,6.47543271670409,6.47543271670409,6.50428817353665
"36",36,60,108,13418,8,5,2004,2005,132,0,0,1117,1117,1132,1320,0,0,0,3,1,4,1,9,1,2004,3,691,113,32,0,0,0,0,0,9,2006,7.8046592970561,12.6410965558799,7.0184017990692,7.03174125876313,7.18538701558042
"47",47,50,48,12822,7,5,2003,2003,0,1351,0,83,1434,1518,631,0,1,0,1,1,1,1,6,1,2003,2,670,168,43,0,0,198,0,0,8,2009,7.67275789664251,12.3870850123755,7.26822302115957,7.32514895795557,6.44730586254121
"57",57,160,24,2645,8,5,1999,2000,456,649,0,321,970,983,756,0,1,0,2,1,3,1,7,0,1999,2,480,115,0,0,0,0,0,0,8,2009,7.46106551435428,12.0581525154536,6.87729607149743,6.89060912014717,6.62804137617953
"58",58,60,89,11645,7,5,2004,2004,0,0,0,860,860,860,860,0,0,0,2,1,3,1,7,0,2004,2,565,0,70,0,0,0,0,0,8,2006,7.4500795698075,12.1884177102915,6.75693238924755,6.75693238924755,6.75693238924755
"59",59,60,66,13682,10,5,2006,2006,1031,0,0,1410,1410,1426,1519,0,0,0,3,1,3,1,10,1,2006,3,641,192,0,37,0,0,0,0,10,2006,7.98786409608569,12.9917534274931,7.25134498337221,7.26262860097424,7.32580750259577
"62",62,75,60,7200,5,7,1920,1996,0,0,0,530,530,581,530,0,0,0,1,0,3,1,6,0,1935,1,288,0,0,144,0,0,0,0,3,2007,7.01301578963963,11.5228757958234,6.27287700654617,6.36475075685191,6.27287700654617
"64",64,70,50,10300,7,6,1921,1950,0,0,0,576,576,902,808,0,0,0,2,0,3,1,9,0,1990,2,480,12,11,64,0,0,0,0,4,2010,7.44424864949671,11.8493977015914,6.35610766069589,6.80461452006262,6.69456205852109
"66",66,60,76,9591,8,5,2004,2005,344,0,0,1143,1143,1143,1330,0,0,0,2,1,4,1,9,1,2004,3,852,192,151,0,0,0,0,0,10,2007,7.81318726752142,12.6666570528594,7.04141166379481,7.04141166379481,7.1929342212158
"70",70,50,81,15593,7,4,1953,1953,0,603,0,701,1304,1304,983,0,0,0,2,0,3,1,7,1,1953,2,667,0,21,114,0,0,0,0,7,2006,7.73499619402278,12.3238556811866,7.1731917424866,7.1731917424866,6.89060912014717
"73",73,60,74,10141,7,5,1998,1998,40,0,0,832,832,885,833,0,0,0,2,1,3,1,7,1,1998,2,427,0,94,0,0,291,0,0,12,2009,7.4489161025442,12.1281111040605,6.72383244082121,6.78558764500793,6.72503364216684
"75",75,50,60,5790,3,6,1915,1950,0,0,0,840,840,840,765,0,0,0,2,0,3,2,8,0,1915,1,379,0,0,202,0,0,0,0,5,2010,7.38087903556412,11.5843154610569,6.73340189183736,6.73340189183736,6.63987583382654
"76",76,180,21,1596,4,5,1973,1973,0,462,0,0,462,526,462,0,1,0,1,0,2,1,5,0,1973,1,297,120,101,0,0,0,0,0,11,2009,6.89568269774787,11.418614785499,6.13556489108174,6.26530121273771,6.13556489108174
"78",78,50,50,8635,5,5,1948,2001,0,336,41,295,672,1072,213,0,1,0,1,0,2,1,6,0,1948,1,240,0,0,0,0,0,0,0,1,2008,7.15851399732932,11.7519423654407,6.51025834052315,6.97728134163075,5.36129216570943
"80",80,50,60,10440,5,6,1910,1981,0,0,0,440,440,682,548,0,0,0,1,1,2,1,5,0,1966,2,440,74,0,128,0,0,0,0,5,2009,7.11476944836646,11.6082356447746,6.08677472691231,6.52502965784346,6.30627528694802
"81",81,60,100,13000,6,6,1968,1968,576,448,0,448,896,1182,960,0,0,0,2,1,4,1,8,1,1968,1,509,0,72,0,0,252,0,0,6,2009,7.66949525100769,12.173032791452,6.79794041297493,7.07496319796604,6.86693328446188
"86",86,60,121,16059,8,5,1991,1992,284,0,0,1288,1288,1301,1116,0,0,0,2,1,4,1,9,1,1991,2,462,127,82,0,0,0,0,0,4,2006,7.79028238070348,12.4684369099977,7.1608459066643,7.1708884785125,7.01750614294126
"87",87,60,122,11911,6,5,2005,2005,0,0,0,684,684,684,876,0,0,0,2,1,3,1,6,1,2005,2,400,100,38,0,0,0,0,0,3,2009,7.35244110024358,12.0668105781967,6.52795791762255,6.52795791762255,6.77536609093639
"88",88,160,40,3951,6,5,2009,2009,76,0,0,612,612,612,612,0,0,0,2,1,2,1,4,0,2009,2,528,0,234,0,0,0,0,0,6,2009,7.10987946307227,12.0106658491876,6.41673228251233,6.41673228251233,6.41673228251233
"94",94,190,60,7200,6,6,1910,1998,0,1046,0,168,1214,1260,1031,0,0,1,2,0,4,2,9,1,1900,2,506,0,0,0,0,99,0,0,11,2007,7.7367436824535,11.8048485316793,7.10167597161944,7.13886699994552,6.93828448401696
"95",95,60,69,9337,6,5,1997,1997,0,648,0,176,824,905,881,0,1,0,2,1,3,1,7,0,1997,2,684,0,162,0,0,0,0,0,5,2007,7.48773376143644,12.2295450017153,6.71417052990947,6.80793494369993,6.78105762593618
"102",102,60,77,9206,6,5,1985,1985,336,0,0,741,741,977,755,0,0,0,2,1,3,1,7,1,1985,2,476,192,46,0,0,0,0,0,6,2010,7.45703208912238,12.0895388292742,6.60800062529609,6.88448665204278,6.62671774924902
"106",106,60,75,9375,8,5,2003,2004,768,0,0,1053,1053,1053,939,0,0,0,2,1,3,1,9,1,2003,2,648,140,45,0,0,0,0,0,8,2008,7.59689443814454,12.4292161968444,6.95939851213398,6.95939851213398,6.84481547920826
"111",111,50,75,9525,6,4,1954,1972,0,444,0,550,994,1216,639,0,0,0,2,0,4,1,7,0,1954,1,325,182,0,0,0,0,0,0,10,2006,7.52563997504154,11.8270060112765,6.90173720665657,7.10332206252611,6.45990445437753
"113",113,60,77,9965,7,5,2007,2007,220,984,0,280,1264,1282,1414,0,1,0,2,1,4,1,10,1,2007,3,792,120,184,0,0,168,0,0,10,2007,7.8995244720322,12.8583197035179,7.1420365747068,7.15617663748062,7.25417784645652
"115",115,70,61,7259,6,8,1945,2002,0,774,150,104,1028,1436,884,0,1,0,2,1,3,1,9,1,1945,1,180,224,0,0,0,0,0,0,7,2007,7.74932246466036,12.4665119815881,6.93537044601511,7.26961674960817,6.78445706263764
"116",116,160,34,3230,6,5,1999,1999,1129,419,0,310,729,729,729,0,0,0,2,1,2,1,5,1,1999,2,440,0,32,0,0,0,0,0,6,2007,7.2848209125686,12.0782392740203,6.59167373200866,6.59167373200866,6.59167373200866
"119",119,60,90,12376,7,5,1990,1990,0,1470,0,203,1673,1699,1523,0,1,0,3,0,5,1,11,2,1990,3,594,367,0,0,0,0,0,0,5,2010,8.07775756373692,12.6760762747759,7.42237370098682,7.43779512167193,7.32843735289516
"120",120,60,65,8461,6,5,2005,2006,0,0,0,728,728,728,728,0,0,0,2,1,3,1,8,1,2005,2,390,0,24,0,0,0,0,0,7,2006,7.28344822875663,12.0075607293375,6.59030104819669,6.59030104819669,6.59030104819669
"122",122,50,50,6060,4,5,1939,1950,0,0,0,732,732,772,351,0,0,0,1,0,3,1,4,0,1979,1,264,0,0,140,0,0,0,0,6,2007,7.02375895473844,11.5129254649702,6.59578051396131,6.64898455002478,5.86078622346587
"129",129,60,69,7590,6,5,1966,1966,266,512,0,148,660,660,688,0,0,0,1,1,3,1,6,1,1966,2,453,188,108,0,0,0,0,0,7,2006,7.20637729147225,11.9511803959014,6.49223983502047,6.49223983502047,6.53378883793334
"131",131,60,88,14200,7,6,1966,1966,309,445,0,479,924,1216,941,0,0,0,2,1,4,1,8,2,1966,2,487,105,66,0,0,0,0,0,5,2006,7.67647364638916,12.3282902782544,6.82871207164168,7.10332206252611,6.84694313958538
"139",139,60,73,9066,8,5,1999,2000,320,668,0,336,1004,1004,848,0,0,0,2,1,3,1,7,2,1999,3,660,224,106,0,0,0,0,0,12,2008,7.52402141520612,12.3458345879053,6.91174730025167,6.91174730025167,6.7428806357919
"140",140,60,65,15426,6,5,1997,1997,0,821,0,107,928,928,836,0,1,0,2,1,3,1,7,0,1997,2,470,276,99,0,0,0,0,0,8,2009,7.47533923656674,12.3523351525084,6.8330317327862,6.8330317327862,6.7286286130847
"143",143,50,71,8520,5,4,1952,1952,0,507,0,403,910,910,475,0,0,0,2,0,4,1,6,0,2000,2,720,0,0,0,0,0,0,0,6,2010,7.23345541862144,12.0197430673387,6.8134445995109,6.8134445995109,6.16331480403464
"146",146,160,24,2522,6,5,2004,2006,50,0,0,970,970,970,739,0,0,0,2,0,3,1,7,0,2004,2,380,0,40,0,0,0,0,0,4,2006,7.44366368311559,11.7752897294377,6.87729607149743,6.87729607149743,6.6052979209482
"158",158,60,92,12003,8,5,2009,2010,84,0,0,774,774,774,1194,0,0,0,2,1,4,1,8,1,2009,3,680,0,75,0,0,0,0,0,5,2010,7.5847730776122,12.5043236693312,6.65157187358973,6.65157187358973,7.08506429395255
"159",159,60,100,12552,7,5,2004,2005,0,222,0,769,991,991,956,0,0,0,2,1,3,1,8,1,2004,2,678,0,136,0,0,0,0,0,5,2010,7.5740450053722,12.4486265903642,6.89871453432999,6.89871453432999,6.8627579130514
"160",160,60,134,19378,7,5,2005,2006,456,57,0,1335,1392,1392,1070,0,1,0,2,1,4,1,9,1,2006,2,576,239,132,0,168,0,0,0,3,2006,7.8087293067444,12.6760762747759,7.23849684089437,7.23849684089437,6.97541392745595
"162",162,60,110,13688,9,5,2003,2004,664,1016,0,556,1572,1572,1096,0,1,0,2,1,3,1,10,2,2003,3,726,400,0,0,0,0,0,0,3,2008,7.88908440703551,12.9299914847569,7.36010397298915,7.36010397298915,6.99942246750796
"165",165,40,40,5400,6,7,1926,2004,0,370,0,779,1149,1149,467,0,0,0,2,0,3,1,5,0,1926,1,216,0,0,183,0,0,0,0,10,2007,7.38770923908104,11.9316357998284,7.04664727784876,7.04664727784876,6.1463292576689
"168",168,60,86,10562,8,5,2007,2007,300,1288,0,294,1582,1610,551,0,1,0,1,1,3,1,8,1,2007,3,789,178,120,0,0,0,0,0,11,2007,7.67832635650689,12.6934986204678,7.3664451483276,7.38398945797851,6.31173480915291
"169",169,60,62,8244,7,5,2004,2004,0,0,0,840,840,840,880,0,0,0,2,1,3,1,7,1,2004,2,440,100,48,0,0,0,0,0,5,2007,7.4500795698075,12.1199699464768,6.73340189183736,6.73340189183736,6.77992190747225
"173",173,160,44,5306,7,7,1987,1987,0,495,215,354,1064,1064,703,0,1,0,2,0,2,1,5,1,1987,2,504,441,35,0,0,0,0,0,6,2006,7.4770384723197,12.3842188309136,6.96979066990159,6.96979066990159,6.55535689181067
"177",177,60,97,10029,6,5,1988,1989,268,831,0,320,1151,1164,896,0,0,1,2,1,4,1,8,1,1988,2,521,0,228,0,0,192,0,0,9,2007,7.63046126178363,12.2596134124582,7.04838640872188,7.05961762829138,6.79794041297493
"182",182,70,54,7588,7,6,1920,1950,0,352,0,441,793,901,901,0,0,0,1,1,4,1,9,1,1920,1,216,0,0,40,0,0,0,0,7,2006,7.49665243816828,12.2065725205718,6.67582322163485,6.80350525760834,6.80350525760834
"184",184,50,63,11426,7,5,2003,2003,0,0,0,1362,1362,1362,720,0,0,0,2,1,3,1,6,0,2003,2,484,280,238,0,0,0,0,0,6,2008,7.64108424917491,12.2060726455302,7.21670948670946,7.21670948670946,6.5792512120101
"185",185,50,92,7438,5,8,1908,1991,0,0,0,504,504,936,316,0,0,0,1,0,3,1,5,0,1986,2,576,104,0,0,0,0,0,0,6,2006,7.13249755166004,11.7519423654407,6.22257626807137,6.84161547647759,5.75574221358691
"186",186,75,90,22950,10,9,1892,1993,0,0,0,1107,1107,1518,1518,572,0,0,2,1,4,1,12,2,1993,3,840,0,260,0,0,410,0,0,6,2006,8.19090888118251,13.0710700830168,7.00940893270864,7.32514895795557,7.32514895795557
"188",188,50,60,10410,5,7,1916,1987,0,0,0,660,660,808,704,144,0,0,2,1,3,1,8,0,1916,1,180,0,0,0,140,0,0,0,8,2009,7.4121603349452,11.8130300574206,6.49223983502047,6.69456205852109,6.55677835615804
"191",191,70,70,10570,8,8,1932,1994,0,297,0,556,853,1549,1178,0,0,0,2,1,3,1,10,2,1932,2,440,0,74,0,0,0,0,0,12,2007,7.91095738284559,12.6603279178078,6.74875954749168,7.34536484041687,7.07157336421153
"194",194,160,24,2522,7,5,2004,2004,50,0,0,970,970,970,739,0,0,0,2,0,3,1,7,0,2004,2,380,0,40,0,0,0,0,0,5,2006,7.44366368311559,11.7752897294377,6.87729607149743,6.87729607149743,6.6052979209482
"196",196,160,24,2280,6,6,1976,1976,0,566,0,289,855,855,601,0,0,0,2,1,3,1,7,1,1976,2,440,87,0,0,0,0,0,0,7,2009,7.28344822875663,11.9083402372249,6.75110146893676,6.75110146893676,6.39859493453521
"198",198,75,174,25419,8,4,1918,1990,0,1036,184,140,1360,1360,1360,392,1,1,2,0,4,1,8,1,1918,2,795,0,16,552,0,0,512,0,3,2006,8.04302088529828,12.3673407931263,7.2152399787301,7.2152399787301,7.2152399787301
"203",203,50,50,7000,6,6,1924,1950,0,617,0,0,617,865,445,0,0,0,2,0,2,1,6,0,1924,1,398,0,0,126,0,0,0,0,5,2006,7.1777824161952,11.6262541502772,6.42486902390539,6.76272950693188,6.09807428216624
"205",205,50,50,3500,5,7,1947,1950,0,312,0,408,720,720,564,0,0,0,1,1,2,1,5,0,1948,1,240,0,35,0,0,0,0,0,4,2009,7.15773548424991,11.6082356447746,6.5792512120101,6.5792512120101,6.33505425149806
"213",213,60,72,8640,7,5,2009,2009,0,822,0,78,900,932,920,0,1,0,2,1,3,1,7,1,2009,2,644,168,108,0,0,0,0,0,7,2009,7.52402141520612,12.4398712298317,6.80239476332431,6.83733281468559,6.82437367004309
"218",218,70,57,9906,4,4,1925,1950,0,0,0,686,686,810,518,0,0,0,1,0,3,1,8,0,1940,1,210,0,172,60,0,0,0,0,9,2006,7.19142933003638,11.580584113444,6.53087762772588,6.69703424766648,6.24997524225948
"223",223,60,85,11475,6,6,1975,1975,0,550,0,163,713,811,741,0,1,0,2,1,3,1,6,1,1975,2,434,209,208,0,0,0,0,0,2,2006,7.34729970074316,12.1001564199386,6.5694814204143,6.69826805411541,6.60800062529609
"226",226,160,21,1680,5,5,1971,1971,142,0,0,630,630,630,672,0,0,0,2,1,3,1,6,0,1991,1,280,0,0,0,0,0,0,0,5,2009,7.17165682276851,11.6262541502772,6.44571981938558,6.44571981938558,6.51025834052315
"227",227,60,82,9950,7,5,1995,1995,290,565,0,638,1203,1214,1306,0,0,0,2,1,4,1,9,1,1995,3,721,224,114,0,0,0,0,0,6,2007,7.83201418050547,12.5776362019627,7.09257371597468,7.10167597161944,7.17472430983638
"228",228,160,21,1869,6,6,1970,1970,127,321,0,162,483,483,504,0,0,0,1,1,2,1,5,0,1987,1,280,0,0,0,0,0,0,0,9,2008,6.89467003943348,11.5711943730942,6.18001665365257,6.18001665365257,6.22257626807137
"232",232,60,174,15138,8,5,1995,1996,506,689,0,773,1462,1490,1304,0,1,0,2,1,4,1,9,1,1995,3,810,0,146,202,0,0,0,0,7,2009,7.93522953981691,12.9066918409288,7.28756064030972,7.30653139893951,7.1731917424866
"233",233,160,21,1680,6,5,1972,1972,297,0,0,483,483,483,504,0,0,0,1,1,2,1,5,1,1972,1,288,0,0,0,0,0,0,0,6,2006,6.89467003943348,11.4563551134818,6.18001665365257,6.18001665365257,6.22257626807137
"236",236,160,21,1680,6,3,1971,1971,604,358,0,125,483,483,504,0,0,0,1,1,2,1,5,0,1971,1,264,0,0,0,0,0,0,0,8,2008,6.89467003943348,11.4019939042629,6.18001665365257,6.18001665365257,6.22257626807137
"240",240,50,52,8741,6,4,1945,1950,0,94,0,641,735,798,689,0,0,0,1,1,3,1,7,1,1949,1,220,0,140,0,0,0,0,0,4,2010,7.30451594646016,11.6351430976945,6.59987049921284,6.68210859744981,6.53524127101366
"243",243,50,63,5000,5,4,1900,1950,0,0,0,540,540,889,551,0,0,0,1,0,3,1,6,0,1940,1,352,0,0,77,0,0,0,0,4,2006,7.27239839257005,11.2772031314492,6.29156913955832,6.7900972355139,6.31173480915291
"244",244,160,75,10762,6,6,1980,1980,0,0,0,626,626,626,591,0,0,0,1,1,3,1,6,1,1980,1,288,0,28,0,0,0,0,0,4,2009,7.10414409298753,11.6952470217642,6.4393503711001,6.4393503711001,6.3818160174061
"247",247,190,69,9142,6,8,1910,1950,0,0,0,1020,1020,908,1020,0,0,0,2,0,4,2,9,0,1910,1,440,0,60,112,0,0,0,0,4,2006,7.56423847517049,11.8277362048103,6.92755790627832,6.81124437860129,6.92755790627832
"249",249,60,72,11317,7,5,2003,2003,101,0,0,840,840,840,828,0,0,0,2,1,3,1,8,0,2003,2,500,144,68,0,0,0,0,0,9,2007,7.41938058291869,12.1007121298723,6.73340189183736,6.73340189183736,6.71901315438526
"253",253,60,65,8366,6,5,2004,2004,0,0,0,798,798,798,842,0,0,0,2,1,3,1,6,0,2004,2,520,138,45,0,0,0,0,0,12,2008,7.40245152081824,12.0610468734799,6.68210859744981,6.68210859744981,6.73578001424233
"256",256,60,66,8738,7,5,1999,1999,302,0,0,975,975,1005,1286,0,0,0,2,1,4,1,8,1,1999,2,429,192,0,0,0,0,0,0,2,2006,7.7367436824535,12.3458345879053,6.88243747099785,6.91274282049318,7.15929190479756
"257",257,60,64,8791,6,5,2003,2003,0,503,0,361,864,864,864,0,0,0,2,1,3,1,7,0,2003,2,673,216,56,0,0,0,0,0,5,2008,7.454719949364,12.2428866186529,6.76157276880406,6.76157276880406,6.76157276880406
"259",259,60,80,12435,7,5,2001,2001,172,361,0,602,963,963,829,0,0,0,2,1,3,1,7,1,2001,2,564,0,96,0,245,0,0,0,5,2008,7.49108759353488,12.3523351525084,6.87005341179813,6.87005341179813,6.7202201551353
"262",262,60,69,9588,8,5,2007,2007,270,0,0,1482,1482,1482,1092,0,0,0,2,1,3,1,10,1,2007,3,868,0,148,0,0,0,0,0,11,2007,7.85321638815607,12.5281561446993,7.30114780585603,7.30114780585603,6.99576615630485
"267",267,60,70,11207,6,5,1997,1997,0,714,0,88,802,802,709,0,1,0,2,1,3,1,8,1,1997,2,413,95,75,0,0,0,0,0,6,2006,7.32052696227274,12.1281111040605,6.68710860786651,6.68710860786651,6.56385552653213
"268",268,75,60,8400,5,8,1939,1997,0,378,0,342,720,1052,720,420,0,0,2,1,4,1,8,1,1939,1,240,262,24,0,0,0,0,0,7,2008,7.69256964806791,12.0979304869105,6.5792512120101,6.95844839329766,6.5792512120101
"271",271,60,84,10728,8,5,2006,2006,0,0,0,1095,1095,1095,844,0,0,0,2,1,3,1,8,1,2006,3,1053,192,51,0,0,0,0,0,8,2006,7.56992765524265,12.4912515877638,6.9985096422506,6.9985096422506,6.73815249459596
"273",273,60,92,11764,8,7,1999,2007,348,524,0,628,1152,1164,1106,0,0,0,2,1,4,1,9,1,1999,3,671,132,57,0,0,0,0,0,4,2010,7.72753511047545,12.5776362019627,7.04925484125584,7.05961762829138,7.00850518208228
"276",276,50,55,7264,7,7,1925,2007,0,0,0,952,952,952,596,0,0,0,2,1,3,1,5,0,1978,2,672,74,0,0,0,144,0,0,10,2009,7.34471905414967,12.2307652581205,6.85856503479136,6.85856503479136,6.39024066706535
"280",280,60,83,10005,7,5,1977,1977,299,392,0,768,1160,1156,866,0,0,0,2,1,4,1,8,1,1977,2,505,288,117,0,0,0,0,0,3,2008,7.61184239958042,12.1652506510099,7.05617528410041,7.05272104923232,6.76388490856244
"281",281,60,82,11287,7,6,1989,1989,340,421,0,386,807,1175,807,0,0,0,2,1,3,1,7,1,1989,2,575,0,84,0,196,0,0,0,1,2007,7.59186171488993,12.3392914893164,6.69332366826995,7.06902342657826,6.69332366826995
"286",286,160,35,4251,7,5,2006,2007,0,0,0,625,625,625,625,0,0,0,2,1,2,1,5,0,2006,2,528,0,54,0,0,0,0,0,6,2007,7.13089883029635,12.0118809161657,6.4377516497364,6.4377516497364,6.4377516497364
"287",287,50,77,9786,6,7,1962,1981,0,600,0,312,912,1085,649,0,0,0,1,1,3,1,7,1,1962,2,440,0,0,0,0,128,0,0,6,2006,7.45818615734049,11.9766594812024,6.81563999007433,6.98933526597456,6.47543271670409
"290",290,70,60,8730,6,7,1915,2003,0,0,0,698,698,698,698,0,0,0,1,0,3,1,7,0,2003,1,384,0,0,0,0,259,0,0,7,2007,7.24136628332232,11.9419443260321,6.54821910276237,6.54821910276237,6.54821910276237
"291",291,60,120,15611,8,5,2006,2006,0,0,0,1079,1079,1079,840,0,0,0,2,1,3,1,8,1,2006,2,685,0,51,0,0,0,0,0,7,2006,7.5595594960077,12.3597803701244,6.98378996525813,6.98378996525813,6.73340189183736
"293",293,50,60,11409,5,4,1949,2008,0,292,0,476,768,1148,568,0,0,0,1,1,3,1,8,1,1949,1,281,0,0,0,0,160,0,0,1,2009,7.44775128004791,11.7829526021833,6.64378973314767,7.04577657687951,6.34212141872115
